id,name,valence,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo
5FalltA3wCyuQa9UQ3YQ76,Crazy Little Thing Called Love - Live at Wembley '86,182.0,1992,523.0,0.26,358867.0,989.0,0.0,574.0,7.0,938.0,-2818.0,1.0,31.0,163.0,143.77200000000005
6K6OCvFQ4i7KKfGJsOAqY1,Wake Up,393.0,2015,0.8809999999999999,387.0,279828.0,374.0,0.0,0.0,0.0,851.0,-6.742999999999999,1.0,64.0,0.0332,116661.0
49D0r3whnVNgNRXPQ0Fid3,"Brother, Brother",966.0,1972,0.6559999999999999,531.0,196667.0,653.0,0.0,0.0,3.0,688.0,-8546.0,1.0,22.0,0.0311,148.93
5CkZWOW4di5Oeqvy7rykLX,Jogan Bana Ke Piya Chhod Gaya,488.0,1945,986.0,604.0,156494.0,424.0,0.0,0.000428,10.0,773.0,-6.6,1.0,0.0,75.0,78.33
0abApP5Xl9PVwuE0Vo4Oyz,"Ballade No. 1 in G Minor, Op. 23",0.0844,1965,987.0,343.0,530827.0,182.0,0.0,883.0,7.0,745.0,-19708.0,0.0,25.0,0.0417,67339.0
33tu7wRzzD8WFB574eCULX,Thorpe Confronts Wolfingham / The Duel,197.0,1940,746.0,304.0,158533.0,424.0,0.0,0.84,10.0,409.0,-17109.0,1.0,3.0,0.0609,81286.0
0xrk6to2kYpat1mPfmyWTq,"Non fuggir!... T'arresta, ingrata!",0.3670000000000001,1951,961.0,429.0,273733.0,348.0,0.0,0.0285,11.0,823.0,-9998.0,1.0,0.0,0.0509,127806.0
4ncVYIs3UFvitjvc8RIPkM,"(Ghost) Riders In the Sky - Digitally Remastered, 1996",146.0,1980,0.0132,228.0,351400.0,0.8959999999999999,0.0,0.0273,9.0,795.0,-7241.0,0.0,47.0,0.13,128433.0
3ML7vRWLPt5C9vxRY5336G,Himno de la Academia de Infantería de Toledo - Remastered,642.0,1936,856.0,0.5479999999999999,177560.0,626.0,0.0,0.0,7.0,752.0,-6541.0,0.0,3.0,0.0489,107728.0
3DEcQChd16pSJ2Q9fLoh0E,"Laura - Live at Sunset School, Carmel-by-the-Sea, CA, September 1955",0.0505,1955,929.0,364.0,363493.0,283.0,0.0,916.0,11.0,706.0,-17491.0,1.0,9.0,0.0342,106857.0
1B9SYd2oxMZF3WuGNEcwB7,Xanzade Xan,659.0,1947,992.0,391.0,424986.0,519.0,0.0,5.17e-05,4.0,931.0,-8.62,1.0,0.0,161.0,60103.0
0YziX3ZU71oG6pJLPv4rTd,B.C,0.18,1943,0.00402,401.0,188653.0,951.0,0.0,0.0081599999999999,4.0,838.0,-5335.0,1.0,0.0,0.0958,137205.0
3Sb6LD52wTQaFKmc3UHmZG,Breadfan (Remastered),0.22,1988,0.000254,371.0,343780.0,856.0,0.0,136.0,0.0,606.0,-10183.0,1.0,44.0,0.0699,122657.0
78rA4TEETpXZpuUzirG8zE,To Lay Me Down - Live,194.0,1981,613.0,364.0,542880.0,0.23,0.0,0.000348,7.0,983.0,-12695.0,1.0,31.0,35.0,204655.0
5I83iMqVwuRoQoPbxFmKNY,Lost And Found By Trial And Error,912.0,1968,527.0,598.0,127640.0,612.0,0.0,206.0,9.0,856.0,-11718.0,1.0,22.0,0.0521,120331.0
2qBoJPxsvPCIpS4mxKBPeq,Poncho Tirado,926.0,1988,873.0,625.0,269584.0,458.0,0.0,3.12e-05,5.0,792.0,-8061.0,1.0,37.0,0.0671,136.20600000000002
6TnzHLyU34ia7vD4lFJ9wF,Anhelo Infinito,0.47,1930,992.0,442.0,197930.0,394.0,0.0,0.0,1.0,861.0,-8453.0,1.0,0.0,0.0517,132.86700000000002
